,GAMEID,SubjectID,P_Culprit,P_Cul_Conf,P_Target,P_Target_Conf,P_Day,P_Day_Conf,Culprit,Cul_Conf,Target,Target_Conf,Day,Day_Conf,Culprit_Change,Target_Change,Day_Change,Total_Correct
0,201004,1,1,4,1,4,1,3,1,4,1,4,1,4,0,0,0,3
1,201004,2,0,2,0,2,1,2,1,5,1,5,1,5,1,1,0,3
2,201004,3,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,2
3,201004,4,0,2,0,2,1,2,1,3,0,3,1,4,1,0,0,2
4,201004,5,1,3,1,3,1,3,1,4,1,4,1,4,0,0,0,3
5,201017,1,0,0,1,0,0,0,1,5,0,5,1,5,1,1,1,2
6,201017,2,1,2,1,2,1,5,1,5,1,5,1,5,0,0,0,3
7,201017,3,0,3,0,4,1,5,1,5,1,4,1,5,1,1,0,3
8,201017,4,1,2,0,2,1,2,0,1,1,1,1,1,1,1,0,2
9,201017,5,0,4,1,4,1,4,1,4,1,4,1,4,1,0,0,3
10,201024,1,0,0,0,0,0,0,0,4,0,4,0,5,1,1,0,0
11,201024,2,0,2,0,2,0,1,1,3,0,4,0,2,1,0,0,1
12,201024,3,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0
13,201024,4,0,0,0,0,0,0,0,3,0,2,0,3,1,1,1,0
14,201024,5,0,0,0,0,0,0,1,1,1,1,0,2,1,1,1,2
15,201041,1,1,1,0,1,1,2,1,4,0,4,1,4,0,1,0,2
16,201041,2,1,4,0,4,0,4,1,5,0,5,1,5,0,1,1,2
17,201041,3,0,2,0,1,1,4,1,4,0,4,1,4,1,1,0,2
18,201041,4,1,1,0,4,0,4,1,5,0,5,1,5,0,0,1,2
19,201041,5,0,4,0,4,1,5,1,4,0,4,1,4,1,0,0,2
20,201049,1,0,3,1,3,0,3,1,4,1,4,0,4,1,0,0,2
21,201049,2,0,1,0,1,0,1,1,4,1,4,0,4,1,1,1,2
22,201049,3,0,1,1,1,0,1,1,4,1,4,0,4,1,0,1,2
23,201049,4,0,2,0,2,0,3,0,2,0,4,0,4,1,0,1,0
24,201049,5,1,1,0,2,1,2,1,2,1,3,1,2,0,1,0,3
25,201055,1,1,1,0,1,1,1,1,4,0,4,1,4,0,1,0,2
26,201055,2,0,1,0,1,0,2,0,2,0,1,0,4,0,1,0,0
27,201055,3,0,1,1,1,0,1,1,2,0,2,1,3,1,1,1,2
28,201055,4,0,1,0,3,1,4,1,3,0,4,1,4,1,0,0,2
29,201055,5,1,5,0,5,0,5,1,5,0,5,0,5,0,0,1,1
30,201061,1,1,1,0,1,1,1,1,4,0,4,1,4,0,1,0,2
31,201061,2,0,4,0,4,0,4,1,4,0,4,0,4,1,0,0,1
32,201061,3,0,3,1,4,1,4,1,5,0,4,0,3,1,1,1,1
33,201061,4,1,5,0,5,1,2,1,5,0,5,1,4,0,0,0,2
34,201061,5,0,0,0,0,0,0,0,4,0,4,0,4,1,1,0,0
35,201082,1,0,4,0,4,1,4,0,4,0,4,1,4,0,0,0,1
36,201082,2,0,3,0,2,0,2,1,4,0,4,1,4,1,1,1,2
37,201082,3,0,3,0,4,0,5,1,5,0,5,1,5,1,1,1,2
38,201082,4,0,4,0,4,1,4,1,4,0,4,1,4,1,0,0,2
39,201082,5,0,5,0,5,1,2,0,4,0,3,1,2,0,1,0,1
40,201085,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1
41,201085,2,1,2,1,2,1,2,1,1,1,1,1,1,0,0,0,3
42,201085,3,0,4,1,3,0,5,1,4,0,4,0,4,1,1,0,1
43,201085,4,0,2,0,2,0,1,1,2,0,2,0,1,1,0,0,1
44,201085,5,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
45,201102,1,0,2,0,4,1,4,1,4,0,4,1,5,1,0,0,2
46,201102,2,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,2
47,201102,3,0,1,0,1,1,1,1,2,0,1,1,2,1,0,0,2
48,201102,4,1,4,0,2,0,4,1,4,0,1,1,1,0,1,1,2
49,201102,5,1,1,0,1,0,1,1,4,0,4,1,4,0,1,1,2
50,201110,1,0,2,0,3,1,4,1,4,0,2,1,4,1,0,0,2
51,201110,2,0,1,0,0,1,2,0,3,1,2,1,2,0,1,0,2
52,201110,3,0,0,1,0,0,0,0,4,1,2,0,5,0,0,0,1
53,201110,4,1,4,0,4,0,4,1,4,1,4,0,4,0,1,0,2
54,201110,5,1,2,1,4,1,4,1,4,1,4,1,5,0,0,0,3
55,201147,1,0,2,0,4,1,2,0,2,0,2,1,2,1,1,0,1
56,201147,2,1,3,1,3,0,3,0,3,1,4,1,4,1,0,1,2
57,201147,3,1,4,1,4,0,4,1,4,1,4,1,4,0,0,1,3
58,201147,4,0,2,0,0,0,0,0,4,0,2,1,4,1,1,1,1
59,201147,5,0,3,1,2,0,1,0,4,1,4,1,3,1,0,1,2
60,201161,1,0,1,1,1,1,1,0,1,1,2,1,2,0,0,0,2
61,201161,2,1,3,1,1,0,2,1,4,0,2,0,4,0,1,1,1
62,201161,3,0,3,0,4,1,4,1,5,1,5,1,5,1,1,0,3
63,201161,4,0,1,0,3,0,3,0,3,1,4,0,5,0,1,0,1
64,201161,5,0,1,0,4,1,4,1,1,0,2,1,2,1,0,0,2
65,201183,1,0,4,1,4,0,4,1,4,0,4,0,4,1,1,1,1
66,201183,2,0,1,0,1,0,1,1,5,0,2,0,4,1,0,1,1
67,201183,3,1,4,0,2,0,2,1,4,0,4,0,4,0,0,0,1
68,201183,4,1,3,0,4,0,3,1,4,0,5,0,4,0,1,1,1
69,201183,5,0,4,0,4,0,2,1,4,0,4,0,4,1,1,0,1
70,201233,1,0,3,0,5,0,5,1,4,0,4,0,4,1,0,0,1
71,201233,2,1,4,1,4,0,2,1,4,1,4,1,4,0,0,1,3
72,201233,3,1,4,0,4,1,4,1,5,1,5,1,5,0,1,0,3
73,201233,4,0,4,1,0,0,0,1,4,1,4,1,4,1,0,1,3
74,201233,5,1,4,0,2,1,4,1,5,0,3,0,4,0,0,1,1
75,201240,1,0,3,0,3,1,3,0,5,0,3,0,3,1,1,1,0
76,201240,2,0,4,0,2,1,2,1,4,1,4,1,4,1,1,0,3
77,201240,3,1,3,1,3,1,3,1,4,1,4,1,4,0,0,0,3
78,201240,4,1,4,0,4,0,4,1,5,1,5,1,5,0,1,1,3
79,201240,5,0,4,1,3,0,4,0,4,1,3,0,3,0,0,0,1
80,201301,1,1,4,1,4,0,5,1,5,1,5,0,5,0,0,0,2
81,201301,2,0,4,1,3,0,5,1,3,1,4,0,5,1,0,0,2
82,201301,3,0,1,0,4,1,4,1,4,1,2,0,1,1,1,1,2
83,201301,4,1,4,1,4,0,5,1,5,1,4,0,5,0,0,0,2
84,201301,5,1,5,1,4,0,5,1,5,1,5,0,4,0,0,1,2
85,201310,1,0,2,1,4,0,5,0,4,1,5,0,5,0,0,0,1
86,201310,2,1,3,0,2,0,1,1,2,0,3,0,1,0,0,1,1
87,201310,3,0,2,0,4,0,5,0,2,0,2,0,5,1,1,0,0
88,201310,4,1,1,0,4,0,3,1,3,0,4,0,2,0,0,0,1
89,201310,5,1,4,0,2,0,2,0,2,0,2,0,4,1,1,0,0
90,201351,1,1,2,1,2,1,2,1,4,1,4,1,4,0,0,0,3
91,201351,2,0,1,0,3,1,3,0,1,1,4,1,4,0,1,0,2
92,201351,3,0,2,1,1,0,2,0,2,1,1,1,4,1,0,1,2
93,201351,4,0,1,1,1,1,4,0,3,1,2,1,5,0,0,0,2
94,201351,5,0,2,1,4,1,4,0,3,1,5,1,5,1,0,0,2
95,201456,1,0,4,0,4,0,5,1,4,1,4,0,5,1,1,0,2
96,201456,2,0,2,0,4,1,2,1,4,0,4,1,5,1,0,0,2
97,201456,3,1,4,1,4,0,2,1,4,1,4,1,2,0,0,1,3
98,201456,4,0,0,0,0,0,0,0,1,0,1,0,2,1,1,1,0
99,201456,5,0,4,0,4,1,3,1,3,0,3,0,3,1,1,1,1
100,201462,1,1,4,1,5,1,5,1,4,1,5,1,5,0,0,0,3
101,201462,2,0,3,0,3,0,3,1,3,1,3,1,3,1,1,1,3
102,201462,3,0,2,0,4,1,5,1,4,1,5,1,5,1,1,0,3
103,201462,4,0,0,1,0,1,0,1,1,1,5,1,5,1,0,0,3
104,201462,5,0,4,0,3,1,4,1,4,1,4,1,5,1,1,0,3
105,201493,1,0,2,1,4,1,4,1,4,1,4,1,4,1,0,0,3
106,201493,2,0,1,0,2,1,1,0,1,0,1,0,2,1,1,1,0
107,201493,3,0,2,0,1,0,1,1,4,1,4,1,2,1,1,1,3
108,201493,4,0,2,1,4,0,4,0,4,1,3,0,4,0,0,0,1
109,201493,5,1,4,0,2,0,2,1,5,1,4,1,4,0,1,1,3
110,201513,1,1,2,0,2,0,1,1,5,1,5,1,5,0,1,1,3
111,201513,2,0,4,0,4,1,4,1,4,0,4,1,4,1,0,0,2
112,201513,3,0,0,0,0,0,0,0,4,0,4,0,4,1,0,0,0
113,201513,4,0,1,1,4,1,4,1,2,1,2,1,4,1,0,0,3
114,201513,5,0,2,0,2,0,2,1,3,0,3,0,3,1,0,0,1
115,201577,1,1,1,0,1,0,3,0,5,1,2,1,4,1,1,1,2
116,201577,2,0,3,0,4,0,3,0,5,1,5,1,4,0,1,1,2
117,201577,3,1,2,0,3,0,3,1,4,1,5,1,5,0,1,1,3
118,201577,4,1,2,0,2,1,0,1,4,1,5,1,4,0,1,0,3
119,201577,5,1,4,0,4,1,4,0,4,0,5,1,5,1,0,0,1
120,201586,1,1,1,0,1,1,1,1,2,1,2,1,5,0,1,0,3
121,201586,2,1,0,0,0,0,0,1,4,1,4,1,4,0,1,1,3
122,201586,3,0,4,0,4,1,5,1,4,1,4,1,5,1,1,0,3
123,201586,4,0,3,0,3,1,4,0,4,0,4,1,4,0,0,0,1
124,201586,5,1,4,1,4,1,4,1,4,1,4,1,4,0,0,0,3
125,201590,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,2
126,201590,2,0,4,0,4,0,4,0,2,1,2,0,5,0,1,0,1
127,201590,3,0,2,0,2,0,2,0,2,0,1,0,1,0,1,1,0
128,201590,4,0,0,0,0,1,0,0,4,0,4,0,4,0,1,1,0
129,201590,5,0,1,0,3,1,4,0,2,1,4,1,4,1,1,0,2
130,201626,1,0,2,0,3,0,3,1,1,0,1,0,1,1,1,0,1
131,201626,2,1,1,0,1,0,1,0,4,0,2,1,4,1,0,1,1
132,201626,3,0,2,0,4,1,4,0,4,0,4,1,4,1,1,0,1
133,201626,4,1,0,1,0,0,0,1,4,0,4,0,4,0,1,1,1
134,201626,5,1,4,0,4,1,4,0,4,0,4,1,4,1,0,0,1
135,201636,1,0,2,0,2,0,4,0,2,0,2,0,2,0,1,1,0
136,201636,2,0,2,0,4,1,4,0,3,0,3,0,2,0,0,1,0
137,201636,3,0,4,0,5,0,5,0,0,0,0,0,0,1,1,1,0
138,201636,4,0,2,1,2,0,2,0,4,1,4,0,4,1,0,0,1
139,201636,5,0,1,0,4,0,2,0,4,0,3,0,4,1,0,0,0
140,201656,1,0,1,1,1,0,2,1,2,1,3,1,3,1,0,1,3
141,201656,2,0,2,0,2,0,4,1,3,1,3,1,1,1,1,1,3
142,201656,3,0,2,0,2,0,3,1,2,1,2,1,5,1,1,1,3
143,201656,4,0,1,0,1,0,2,1,4,1,4,1,4,1,1,1,3
144,201656,5,0,1,1,1,1,4,1,4,1,4,1,4,1,0,0,3
